num_cars,avg_time_s,std_time_s,min_time_s,max_time_s,avg_time_ms,std_time_ms
1,0.00022221578999999985,1.326202232399048e-5,0.000186157,0.000432118,0.22221578999999986,0.01326202232399048
2,0.00045654145400000055,0.0005960087996182856,0.000216472,0.019216727,0.45654145400000057,0.5960087996182857
3,0.0007291734619999993,0.00040260343948157827,0.000431148,0.007411101,0.7291734619999993,0.4026034394815783
4,0.000927559596999999,0.00046807489223272945,0.00047672,0.006871779,0.927559596999999,0.46807489223272947
5,0.001133793513999999,0.0005921571078882411,0.000581312,0.007731829,1.1337935139999988,0.5921571078882412
6,0.0014183890949999993,0.0006524906348005576,0.000819251,0.00765118,1.4183890949999993,0.6524906348005577
7,0.0016848907370000004,0.0007097882329729754,0.00091929,0.007825965,1.6848907370000004,0.7097882329729753
8,0.002121809009999998,0.0008255435468938252,0.001295963,0.008780304,2.121809009999998,0.8255435468938253
9,0.0024245050150000012,0.000920263019741914,0.00137603,0.010041508,2.424505015000001,0.9202630197419139
10,0.0026909615449999987,0.0009772770329005026,0.001421955,0.009497146,2.6909615449999986,0.9772770329005026
11,0.0030237862210000027,0.0010507745106271315,0.001697767,0.009774823,3.0237862210000026,1.0507745106271316
12,0.003504193825999998,0.0011885927421525888,0.001593481,0.010991041,3.504193825999998,1.1885927421525888
